2025-11-03 18:57:06 | temoa.cli | INFO | Logging initialized. Log file at: output_files/2025-11-03_185706/temoa-run.log
2025-11-03 18:57:06 | temoa.core.config | INFO | Scenario Name:  zulu
2025-11-03 18:57:06 | temoa.core.config | INFO | Data source:  data_files/example_dbs/utopia.sqlite
2025-11-03 18:57:06 | temoa.core.config | INFO | Data target:  data_files/example_dbs/utopia.sqlite
2025-11-03 18:57:06 | temoa.core.config | INFO | Mode:  PERFECT_FORESIGHT
2025-11-03 18:57:06 | temoa._internal.temoa_sequencer | INFO | Temoa Mode overridden by caller to: TemoaMode.BUILD_ONLY
2025-11-03 18:57:06 | temoa._internal.temoa_sequencer | INFO | Starting model build process (build-only mode).
2025-11-03 18:57:06 | temoa._internal.temoa_sequencer | WARNING | Source trace disabled for build-only mode.
2025-11-03 18:57:06 | temoa._internal.temoa_sequencer | WARNING | Commodity network plotting disabled for build-only mode.
2025-11-03 18:57:06 | temoa._internal.temoa_sequencer | WARNING | Price check disabled for build-only mode.
2025-11-03 18:57:06 | temoa.data_io.hybrid_loader | INFO | Loading data dictionary
2025-11-03 18:57:06 | temoa._internal.run_actions | INFO | Started creating model instance from data
2025-11-03 18:57:06 | temoa.components.time | INFO | Running a seasonal time slice database. This behaviour can be changed using the time_sequencing parameter in the config file. 
2025-11-03 18:57:06 | temoa.components.commodities | INFO | Missing some time slices for Demand Specific Distribution ('utopia', 2000, 'RH'): {('summer', 'night'), ('summer', 'day')}
2025-11-03 18:57:06 | temoa.components.commodities | INFO | Missing some time slices for Demand Specific Distribution ('utopia', 2010, 'RH'): {('summer', 'night'), ('summer', 'day')}
2025-11-03 18:57:06 | temoa.components.commodities | INFO | Missing some time slices for Demand Specific Distribution ('utopia', 1990, 'RH'): {('summer', 'night'), ('summer', 'day')}
2025-11-03 18:57:06 | temoa._internal.run_actions | INFO | Finished creating model instance from data
2025-11-03 18:57:06 | temoa._internal.run_actions | INFO | model built...  Variables: 1095, Constraints: 1486
2025-11-03 18:57:06 | temoa._internal.temoa_sequencer | INFO | Model build process complete.
